,date,am,pm,target,predict
0,2020-04-17,21,2,1,0
1,2020-04-18,1,68,0,1
2,2020-04-19,18,15,0,1
3,2020-04-20,2,23,1,1
4,2020-04-21,0,25,1,1
5,2020-04-22,0,28,1,1
6,2020-04-23,10,33,1,1
7,2020-04-24,2,14,1,1
8,2020-04-25,30,74,0,1
9,2020-04-26,28,233,0,1
10,2020-04-27,4,2,1,1
11,2020-04-28,4,1,1,1
12,2020-04-29,0,17,1,1
13,2020-04-30,13,40,1,1
14,2020-05-01,8,52,1,1
15,2020-05-02,91,151,0,1
16,2020-05-03,47,133,0,1
17,2020-05-04,11,26,1,1
18,2020-05-05,81,58,1,1
19,2020-05-06,2,0,1,0
20,2020-05-07,14,38,1,1
21,2020-05-08,3,84,1,1
22,2020-05-09,0,86,0,1
23,2020-05-10,10,133,0,1
24,2020-05-11,3,183,1,1
25,2020-05-12,56,267,1,1
26,2020-05-13,6,205,1,1
27,2020-05-14,66,509,1,1
28,2020-05-15,10,0,1,0
29,2020-05-16,0,4,0,1
30,2020-05-17,2,46,0,1
31,2020-05-18,0,3,1,1
32,2020-05-19,20,14,1,1
33,2020-05-20,7,21,1,1
34,2020-05-21,1,48,1,1
